name,default_code,type,categ_id,lst_price,standard_price,qty_available,description,barcode,uom_id,uom_po_id,active,volume,weight,sale_ok,purchase_ok,create_date,write_date
Advanced ROV Electronics Package for ArduSub,ADVPKG-ARDUSUB-PIXHAWK-R2-RP,product,All,1.0,55.00000000000001,1.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:20,2024-09-24 20:24:17
Water Linked Receivers,APS-WL-21005-B010-4-RP,product,All,4030.0000000000005,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:10,2024-08-20 20:15:12
Water Linked Receivers,APS-WL-21005-B0100-4-RP,product,All,4030.0000000000005,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:10,2024-08-20 20:15:12
Water Linked Receivers,APS-WL-21005-B050-4-RP,product,All,4030.0000000000005,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:10,2024-08-20 20:15:12
Water Linked Locator-A1,APS-WL-21009-WITH-PENETRATOR-RP,product,All,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:18,2024-08-20 20:15:12
Water Linked Locator-D1,APS-WL-21016-B050,product,All,1480.0000000000002,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:04,2024-08-20 20:15:12
Water Linked Locator-D1,APS-WL-21016-B100,product,All,1480.0000000000002,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:04,2024-08-20 20:15:12
Water Linked Locator-U1,APS-WL-21018,product,All,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:02,2024-08-20 20:15:12
Water Linked Locator-S1,APS-WL-21022-WITH-PENETRATOR-RP,product,All,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:37:00,2024-08-20 20:15:12
Water Linked Antenna,APS-WL-21027-1-RP,product,All,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2024-02-07 19:36:55,2024-08-20 20:15:12
BATTERY-CHARGER-0620AC-R1-VP,BATTERY-CHARGER-0620AC-R1-VP,service,All / Resold Goods,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2019-05-08 03:46:17,2024-08-20 20:15:12
BATTERY-STICKER-R3-VP,BATTERY-STICKER-R3-VP,service,All / Finished Manufactured Goods,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2020-10-13 18:42:58,2024-08-20 20:15:12
BlueBoat Components,BLUEBOAT-COMPONENTS-VP,service,All / Finished Manufactured Goods,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2023-12-11 16:20:45,2024-08-20 20:15:12
BLUEROV2-VP,BLUEROV2-VP,service,All / Finished Packed Goods,1.0,0.0,0.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,False,2022-06-07 17:39:07,2024-08-20 20:15:12
"EOL-WLP Box Insert, Foam, Black, 5-cavity, M10, 6.5mm",BR-100002,product,All / Raw Materials,1.0,0.25,443.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-04-16 03:16:31,2024-08-20 20:15:12
"WLP Plug, AL7075-T6, Black, 14mm Hex, 5.5mm, LC",BR-100003,product,All / Raw Materials,1.0,0.84118,183.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2021-10-20 21:18:53,2024-08-20 20:15:12
"Set Screw, Hex Drive, Cup-Point, SS316, M4x0.7 - 4",BR-100004,product,All / Raw Materials,0.0,0.02009,2992.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-09-19 20:15:14
"TMS Spool Flange Support, AL6061-T6, Black ",BR-100006,product,All / Raw Materials,30.000000000000004,7.500000000000001,163.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-29 22:38:51
"Xbox Controller, Blue",BR-100009,product,All / The Reef,1.0,53.68000000000001,61.0,False,False,Unit(s),Unit(s),True,0.0,0.0,True,True,2023-02-07 17:51:14,2024-08-21 18:25:14
Ping Sonar PCB Assembly,BR-100010,product,All / Raw Materials,116.00000000000001,38.25077,129.0,"<p>Purchase Instructions:<br>1. Follow the Generic Purchase Instructions on the Odoo CircuitHub vendor page.<br>2. Complete those steps for the project ""bluerobotics-hwswdesign/001-046-ALTIMETER-V4"".</p>",False,Unit(s),Unit(s),True,0.0,0.0,False,True,2018-07-09 19:43:43,2024-08-20 20:15:12
"Cable, Ping360 Oil-filled, 12x1 2mm Header F to Varied Connectors",BR-100011,product,All / Raw Materials,1.0,1.8235000000000001,327.0,False,False,Unit(s),Unit(s),True,0.0,0.0,False,True,2022-07-22 17:00:20,2024-09-19 20:44:57
